Probeset	ART_0dpi_1	ART_0dpi_2	ART_0dpi_3
Mtr.1.1.S1_at	170.917	95.0946	103.276
Mtr.1.1.S1_s_at	606.86	568.79	486.171
Mtr.10.1.S1_at	16.5809	8.04668	10.0063
Mtr.100.1.S1_at	23.3534	21.2799	27.0713
Mtr.1000.1.S1_at	14.0071	12.6096	16.2337
Mtr.10000.1.S1_at	523.244	406.521	406.286
Mtr.10001.1.S1_at	12.8006	61.514	52.1349
Mtr.10001.1.S1_s_at	111.663	236.741	231.432
Mtr.10002.1.S1_at	24.7212	27.79	26.6923
Mtr.10003.1.S1_at	6.14688	6.09236	5.91463
Mtr.10004.1.S1_at	11.3267	9.31017	12.0065
Mtr.10005.1.S1_at	150.305	146.274	136.918
Mtr.10006.1.S1_at	10.7483	40.6436	38.1027
Mtr.10007.1.S1_at	197.493	312.401	290.819
Mtr.10008.1.S1_at	48.0109	25.6513	24.2531
Mtr.10009.1.S1_at	3255.2	3744.83	3491.2
Mtr.1001.1.S1_at	5.96667	6.3414	7.12915
Mtr.10010.1.S1_at	89.7192	226.006	235.217
Mtr.10011.1.S1_at	7.93059	7.78785	8.40421
Mtr.10012.1.S1_at	7.43293	6.85612	5.85321
Mtr.10013.1.S1_at	3019.44	3642.08	3494.74
Mtr.10014.1.S1_at	7.53473	9.12639	7.91079
Mtr.10015.1.S1_at	26.0833	32.5219	31.5214
Mtr.10016.1.S1_at	336.718	355.867	358.892
Mtr.10017.1.S1_at	18.4816	19.853	20.0772
Mtr.10018.1.S1_at	184.756	207.139	188.737
Mtr.10019.1.S1_at	291.09	286.174	285.818
Mtr.1002.1.S1_at	8.14677	8.89439	9.06352
Mtr.10020.1.S1_at	59.0541	50.9533	50.2473
Mtr.10021.1.S1_at	9.68887	28.7293	18.9804
Mtr.10022.1.S1_at	60.4259	119.615	108.468
Mtr.10023.1.S1_at	387.778	362.53	330.981
Mtr.10024.1.S1_at	5.76105	10.7774	10.1353
Mtr.10025.1.S1_at	14.556	30.333	35.6008
Mtr.10026.1.S1_at	70.1579	49.6444	44.5404
Mtr.10026.1.S1_s_at	201.704	219.296	214.586
Mtr.10027.1.S1_at	11.1854	9.31508	10.3411
Mtr.10028.1.S1_at	152.445	138.858	95.2124
Mtr.10029.1.S1_at	10.8131	14.8433	14.7768
Mtr.10029.1.S1_s_at	65.0906	119.179	108.307
Mtr.10030.1.S1_at	915.701	626.246	582.472
Mtr.10031.1.S1_at	313.833	319.7	228.053
Mtr.10032.1.S1_at	8.07317	7.32205	8.02561
Mtr.10034.1.S1_at	25.4999	41.3971	47.8858
Mtr.10035.1.S1_at	41.1564	34.1458	27.7808
Mtr.10036.1.S1_at	21.5328	60.4397	68.5873
Mtr.10037.1.S1_at	653.508	412.308	429.514
Mtr.10039.1.S1_at	126.67	108.76	71.556
Mtr.1004.1.S1_at	7.16312	7.11777	7.33211
Mtr.10040.1.S1_at	16.0459	16.0644	15.8961
Mtr.10041.1.S1_at	456.147	452.035	494.818
Mtr.10042.1.S1_at	471.668	384.785	359.147
Mtr.10043.1.S1_at	82.7464	159.817	192.03
Mtr.10044.1.S1_at	258.531	158.113	146.144
Mtr.10045.1.S1_at	296.583	546.131	600.845
Mtr.10046.1.S1_at	58.795	150.127	126.643
Mtr.10047.1.S1_at	14.3355	12.1346	13.4303
Mtr.10048.1.S1_at	119.459	174.351	147.624
Mtr.10049.1.S1_at	18.0808	36.7692	36.3718
Mtr.1005.1.S1_at	5.97887	6.91731	6.70803
Mtr.10050.1.S1_at	7.33376	6.93787	6.42581
Mtr.10051.1.S1_at	403.911	318.216	236.187
Mtr.10052.1.S1_at	8.49267	11.7327	10.515
