Probeset	Nod_10dpi_1	Nod_10dpi_2	Nod_10dpi_3
Mtr.1.1.S1_at	126.803	138.907	136.054
Mtr.1.1.S1_s_at	692.642	731.099	724.797
Mtr.10.1.S1_at	11.8883	8.30044	7.50867
Mtr.100.1.S1_at	7.5982	7.47501	9.0858
Mtr.1000.1.S1_at	15.1329	17.2841	16.3082
Mtr.10000.1.S1_at	424.788	447.98	480.27
Mtr.10001.1.S1_at	109.616	87.8165	84.6145
Mtr.10001.1.S1_s_at	414.864	335.326	372.935
Mtr.10002.1.S1_at	17.206	13.897	16.0406
Mtr.10003.1.S1_at	1103.16	1236.25	1867.8
Mtr.10004.1.S1_at	9.64375	8.61311	9.56454
Mtr.10005.1.S1_at	107.276	173.734	168.122
Mtr.10006.1.S1_at	49.5652	58.7015	53.9385
Mtr.10007.1.S1_at	88.6984	117.149	127.734
Mtr.10008.1.S1_at	30.0173	33.2255	38.0051
Mtr.10009.1.S1_at	118.661	223.051	197.179
Mtr.1001.1.S1_at	6.00615	6.41047	6.99142
Mtr.10010.1.S1_at	414.725	339.43	391.864
Mtr.10011.1.S1_at	6.73356	6.3745	7.82858
Mtr.10012.1.S1_at	8.14668	7.15939	6.0896
Mtr.10013.1.S1_at	2310.36	1171.39	1048.23
Mtr.10014.1.S1_at	7.5048	7.66263	7.21771
Mtr.10015.1.S1_at	47.3351	36.9238	54.1469
Mtr.10016.1.S1_at	282.981	314.719	333.046
Mtr.10017.1.S1_at	22.0121	24.3279	22.6451
Mtr.10018.1.S1_at	182.462	262.879	207.664
Mtr.10019.1.S1_at	78.3638	83.1302	76.3719
Mtr.1002.1.S1_at	8.77967	9.73756	8.78899
Mtr.10020.1.S1_at	28.298	32.8997	45.5589
Mtr.10021.1.S1_at	8.96419	7.73868	8.94418
Mtr.10022.1.S1_at	300.315	237.684	193.212
Mtr.10023.1.S1_at	134.132	163.525	129.339
Mtr.10024.1.S1_at	7.87965	6.35417	8.04189
Mtr.10025.1.S1_at	16.0265	20.7438	19.3688
Mtr.10026.1.S1_at	77.6671	51.0228	80.9196
Mtr.10026.1.S1_s_at	285.17	225.318	299.007
Mtr.10027.1.S1_at	10.6348	13.9127	13.8867
Mtr.10028.1.S1_at	149.478	103.996	160.987
Mtr.10029.1.S1_at	32.0275	20.407	20.877
Mtr.10029.1.S1_s_at	165.629	131.692	98.5078
Mtr.10030.1.S1_at	1394.71	687.168	1278.9
Mtr.10031.1.S1_at	185.013	132.094	153.346
Mtr.10032.1.S1_at	6.64157	7.64103	7.71527
Mtr.10034.1.S1_at	36.4355	45.6426	37.4444
Mtr.10035.1.S1_at	23.0424	24.2804	23.9695
Mtr.10036.1.S1_at	80.4422	45.4528	38.7444
Mtr.10037.1.S1_at	218.918	210.451	269.292
Mtr.10039.1.S1_at	91.0056	54.8395	85.7263
Mtr.1004.1.S1_at	7.68665	7.52114	6.60929
Mtr.10040.1.S1_at	16.9882	12.6392	15.1759
Mtr.10041.1.S1_at	517.533	401.394	434.963
Mtr.10042.1.S1_at	569.635	408.113	496.679
Mtr.10043.1.S1_at	27.5724	28.4441	30.6043
Mtr.10044.1.S1_at	2054.51	1691.1	1744.68
Mtr.10045.1.S1_at	1031.36	929.57	711.305
Mtr.10046.1.S1_at	125.086	97.4107	96.3348
Mtr.10047.1.S1_at	11.9009	16.5361	14.5394
Mtr.10048.1.S1_at	310.366	259.254	219.373
Mtr.10049.1.S1_at	165.256	141.137	102.912
Mtr.1005.1.S1_at	6.08418	5.71125	6.67946
Mtr.10050.1.S1_at	5.10409	6.96283	6.75291
Mtr.10051.1.S1_at	321.665	305.144	367.231
Mtr.10052.1.S1_at	9.77231	9.55106	9.28881
Mtr.10053.1.S1_at	1990.71	1420.65	1508.45
Mtr.10054.1.S1_at	100.369	79.8952	79.7372
Mtr.10055.1.S1_at	552.024	827.388	678.062
Mtr.10056.1.S1_at	30.3022	30.8715	44.3372
Mtr.10057.1.S1_at	30.3807	27.1966	31.0178
Mtr.10058.1.S1_at	13.0973	8.34926	15.4029
Mtr.10059.1.S1_at	458.689	437.706	434.457
Mtr.1006.1.S1_at	5.35262	4.94442	5.1768
Mtr.10061.1.S1_at	157.616	189.718	115.894
Mtr.10062.1.S1_at	160.744	137.894	136.127
Mtr.10063.1.S1_at	6.96897	10.0619	6.91921
Mtr.10064.1.S1_at	19.32	21.3299	20.3692
Mtr.10065.1.S1_at	68.8643	55.2522	45.6676
Mtr.10066.1.S1_at	213.377	176.873	215.632
Mtr.10067.1.S1_at	8.52291	12.1313	11.7136
Mtr.10067.1.S1_s_at	412.111	504.94	448.148
Mtr.10068.1.S1_at	161.128	153.111	177.141
Mtr.10069.1.S1_at	14.3177	17.534	24.9253
Mtr.1007.1.S1_at	20.9835	16.4627	18.95
Mtr.10070.1.S1_at	97.4063	116.328	95.3793
Mtr.10071.1.S1_at	78.6557	91.0686	106.696
Mtr.10071.1.S1_s_at	163.21	171.594	184.427
Mtr.10072.1.S1_at	390.448	359.923	369.77
Mtr.10073.1.S1_at	28.4412	26.988	31.2075
Mtr.10074.1.S1_at	6.81209	6.21785	6.33209
Mtr.10076.1.S1_at	8.62811	8.6985	11.5369
Mtr.10077.1.S1_at	152.384	148.207	132.144
Mtr.10078.1.S1_at	8.74887	8.1075	11.0693
Mtr.10079.1.S1_at	697.461	719.958	820.893
Mtr.1008.1.S1_at	5.41148	6.4976	6.73591
Mtr.10080.1.S1_at	9.76752	7.82346	7.32653
Mtr.10081.1.S1_at	5.348	7.18587	8.88795
Mtr.10081.1.S1_s_at	15.7129	17.3466	25.2015
Mtr.10082.1.S1_at	45.9556	44.7632	34.4725
Mtr.10083.1.S1_at	11.6391	12.2496	10.3585
Mtr.10084.1.S1_at	151.445	111.948	120.43
Mtr.10085.1.S1_at	1235.73	905.744	889.75
Mtr.10086.1.S1_at	60.7184	60.9929	69.7559
Mtr.10086.1.S1_s_at	178.193	153.944	154.105
Mtr.10087.1.S1_at	10.9548	9.16819	11.9256
Mtr.10088.1.S1_at	330.841	411.836	447.169
Mtr.10089.1.S1_at	6.08418	6.98074	6.81057
Mtr.1009.1.S1_at	9.03452	8.01246	6.3741
Mtr.10090.1.S1_at	100.07	138.181	154.61
Mtr.10091.1.S1_at	21.5283	15.9622	15.7245
Mtr.10092.1.S1_at	1026.3	1117.58	1361.06
Mtr.10093.1.S1_at	8.48323	8.37561	8.57944
Mtr.10093.1.S1_x_at	8.45722	8.26994	7.67032
Mtr.10094.1.S1_at	10.2463	10.8378	9.55873
Mtr.10095.1.S1_at	6.78829	6.24996	6.45858
Mtr.10096.1.S1_at	6.18133	5.90559	6.95518
Mtr.10097.1.S1_at	51.1921	53.705	34.5038
Mtr.10098.1.S1_at	12.7295	15.6822	11.9823
Mtr.10099.1.S1_s_at	73.8788	56.0123	61.6367
Mtr.101.1.S1_at	5.89144	5.22745	5.56036
Mtr.1010.1.S1_at	39.3173	50.8525	59.6165
Mtr.10100.1.S1_at	23.1101	21.9982	25.3586
Mtr.10101.1.S1_at	177.17	151.939	142.207
Mtr.10102.1.S1_at	463.995	572.382	469.663
Mtr.10103.1.S1_at	8.7752	7.52724	7.54353
Mtr.10104.1.S1_at	62.9351	50.614	42.8107
Mtr.10105.1.S1_at	6.46798	8.07631	6.03974
Mtr.10105.1.S1_s_at	131.682	105.818	82.101
Mtr.10106.1.S1_at	38.7239	30.8198	47.3166
Mtr.10107.1.S1_at	105.73	93.0555	114.419
Mtr.10107.1.S1_s_at	187.344	157.719	165.406
Mtr.10108.1.S1_at	8.2456	6.75574	8.06726
Mtr.10109.1.S1_s_at	62.8145	48.0405	55.6485
Mtr.1011.1.S1_at	19.8744	11.0463	14.419
