Probeset	ART_03dpi_control_1	ART_03dpi_control_2	ART_03dpi_control_3
Mtr.1.1.S1_at	41.3986	37.0512	27.7943
Mtr.1.1.S1_s_at	499.58	504.615	542.993
Mtr.10.1.S1_at	9.06913	10.5143	15.3417
Mtr.100.1.S1_at	13.2535	12.0072	11.9102
Mtr.1000.1.S1_at	18.4857	13.1284	13.4415
Mtr.10000.1.S1_at	395.017	360.002	376.738
Mtr.10001.1.S1_at	90.0627	74.5361	69.6384
Mtr.10001.1.S1_s_at	308.473	298.006	293.048
Mtr.10002.1.S1_at	36.0547	28.6662	32.4539
Mtr.10003.1.S1_at	5.72919	6.59377	6.80535
Mtr.10004.1.S1_at	10.5259	13.4636	8.38845
Mtr.10005.1.S1_at	138.932	119.817	148.386
Mtr.10006.1.S1_at	11.73	15.8432	12.2594
Mtr.10007.1.S1_at	277.487	285.982	259.096
Mtr.10008.1.S1_at	31.4309	32.0981	27.284
Mtr.10009.1.S1_at	2685.54	3219.65	2981.22
Mtr.1001.1.S1_at	6.12208	6.92141	6.01454
Mtr.10010.1.S1_at	118.932	89.6576	80.6447
Mtr.10011.1.S1_at	6.71029	6.84954	7.83236
Mtr.10012.1.S1_at	7.3596	5.85773	6.84645
Mtr.10013.1.S1_at	2670.51	2542.67	2453.1
Mtr.10014.1.S1_at	8.15574	8.28109	8.33233
Mtr.10015.1.S1_at	38.4639	35.8401	35.1549
Mtr.10016.1.S1_at	533.442	512.973	518.346
Mtr.10017.1.S1_at	20.491	17.6735	17.4548
Mtr.10018.1.S1_at	312.45	348.623	262.119
Mtr.10019.1.S1_at	127.816	117.147	126.09
Mtr.1002.1.S1_at	7.38926	8.85264	10.2485
Mtr.10020.1.S1_at	107.285	94.5589	78.2779
Mtr.10021.1.S1_at	17.3625	14.8666	14.6758
Mtr.10022.1.S1_at	206.076	214.309	197.5
Mtr.10023.1.S1_at	266.389	192.057	205.06
Mtr.10024.1.S1_at	7.55787	9.72077	8.54972
Mtr.10025.1.S1_at	12.4708	12.3646	10.9991
Mtr.10026.1.S1_at	61.5435	60.3398	56.5301
Mtr.10026.1.S1_s_at	277.659	277.837	315.927
Mtr.10027.1.S1_at	12.5839	10.0975	13.9874
Mtr.10028.1.S1_at	156.399	136.829	132.424
Mtr.10029.1.S1_at	21.4359	16.6046	14.6767
Mtr.10029.1.S1_s_at	88.549	90.9339	93.1614
Mtr.10030.1.S1_at	637.798	628.957	620.161
Mtr.10031.1.S1_at	399.216	389.213	370.632
Mtr.10032.1.S1_at	7.24253	6.6929	7.13082
Mtr.10034.1.S1_at	35.602	34.1073	36.5566
Mtr.10035.1.S1_at	38.1913	43.0198	53.016
Mtr.10036.1.S1_at	110.917	133.825	98.4557
Mtr.10037.1.S1_at	589.191	565.595	639.409
Mtr.10039.1.S1_at	94.9531	103.369	87.4095
Mtr.1004.1.S1_at	7.85767	6.38891	7.7301
Mtr.10040.1.S1_at	14.0054	21.8909	15.7248
Mtr.10041.1.S1_at	347.823	358.817	321.575
Mtr.10042.1.S1_at	436.311	399.178	363.681
Mtr.10043.1.S1_at	200.758	199.084	217.167
Mtr.10044.1.S1_at	165.588	181.924	165.377
Mtr.10045.1.S1_at	217.93	200.247	249.494
Mtr.10046.1.S1_at	73.3356	57.3283	79.1171
Mtr.10047.1.S1_at	15.877	17.5988	16.4993
Mtr.10048.1.S1_at	116.815	115.904	111.722
Mtr.10049.1.S1_at	61.5813	65.1098	75.756
Mtr.1005.1.S1_at	6.87613	7.32515	7.74959
Mtr.10050.1.S1_at	6.1563	6.80175	6.62926
Mtr.10051.1.S1_at	354.845	336.724	346.738
Mtr.10052.1.S1_at	8.95083	9.85542	9.41131
Mtr.10053.1.S1_at	7.68101	8.19571	7.1377
Mtr.10054.1.S1_at	68.2343	88.7724	76.5616
Mtr.10055.1.S1_at	195.917	201.1	246.217
Mtr.10056.1.S1_at	6.85272	6.39713	8.32919
Mtr.10057.1.S1_at	21.9544	18.9744	21.1419
Mtr.10058.1.S1_at	30.8343	27.593	30.7362
Mtr.10059.1.S1_at	537.799	559.297	523.698
Mtr.1006.1.S1_at	6.90746	7.03399	5.78481
Mtr.10061.1.S1_at	24.7067	29.1252	30.2538
Mtr.10062.1.S1_at	348.276	384.174	396.721
Mtr.10063.1.S1_at	12.8885	12.9095	10.553
Mtr.10064.1.S1_at	133.142	103.426	132.467
Mtr.10065.1.S1_at	76.9129	69.5496	71.3572
Mtr.10066.1.S1_at	247.074	244.406	225.041
Mtr.10067.1.S1_at	10.6455	12.9285	12.1436
Mtr.10067.1.S1_s_at	262.764	264.628	284.361
Mtr.10068.1.S1_at	173.477	161.613	147.213
Mtr.10069.1.S1_at	19.9839	18.7556	19.6846
Mtr.1007.1.S1_at	10.9731	12.6489	12.3122
Mtr.10070.1.S1_at	157.916	164.857	160.841
Mtr.10071.1.S1_at	68.6144	42.47	101.506
Mtr.10071.1.S1_s_at	24.7169	14.7974	33.8595
Mtr.10072.1.S1_at	588.457	541.654	541.044
Mtr.10073.1.S1_at	14.6643	16.1563	14.1452
Mtr.10074.1.S1_at	6.19435	6.17485	6.08062
Mtr.10076.1.S1_at	8.73536	8.80122	8.69094
Mtr.10077.1.S1_at	602.279	568.582	551.172
Mtr.10078.1.S1_at	6.75835	5.69398	6.8216
Mtr.10079.1.S1_at	744.251	772.974	803.958
Mtr.1008.1.S1_at	6.23026	6.33157	5.72309
Mtr.10080.1.S1_at	6.24296	6.86901	5.96104
Mtr.10081.1.S1_at	17.5231	13.8496	14.7721
Mtr.10081.1.S1_s_at	74.3429	79.4301	48.4129
Mtr.10082.1.S1_at	41.5683	44.5279	44.2745
Mtr.10083.1.S1_at	10.203	11.9091	14.7135
Mtr.10084.1.S1_at	43.4689	35.1063	37.5611
Mtr.10085.1.S1_at	1718.31	1794.72	1484.17
Mtr.10086.1.S1_at	217.257	204.338	227.177
Mtr.10086.1.S1_s_at	310.154	317.564	310.713
Mtr.10087.1.S1_at	8.10632	9.70525	9.82787
Mtr.10088.1.S1_at	494.038	540.576	441.754
Mtr.10089.1.S1_at	7.80732	6.54991	7.62268
Mtr.1009.1.S1_at	6.91313	6.22874	6.7074
Mtr.10090.1.S1_at	68.3453	54.308	55.9122
Mtr.10091.1.S1_at	11.8223	10.8954	11.6737
Mtr.10092.1.S1_at	838.059	830.151	794.727
Mtr.10093.1.S1_at	10.142	7.7034	7.60464
Mtr.10093.1.S1_x_at	6.86038	7.51877	8.00919
Mtr.10094.1.S1_at	9.85093	9.83107	9.00551
Mtr.10095.1.S1_at	6.48966	7.77318	6.42312
Mtr.10096.1.S1_at	21.7115	15.395	39.2659
Mtr.10097.1.S1_at	22.0071	30.9071	29.4254
Mtr.10098.1.S1_at	8.56211	8.80325	7.78543
Mtr.10099.1.S1_s_at	22.2963	23.4182	23.1708
Mtr.101.1.S1_at	6.73661	5.87649	5.19026
Mtr.1010.1.S1_at	71.7518	75.5421	78.3672
Mtr.10100.1.S1_at	8.44613	10.2651	11.1398
Mtr.10101.1.S1_at	87.5866	80.701	90.8493
Mtr.10102.1.S1_at	571.138	526.404	517.624
Mtr.10103.1.S1_at	7.95221	10.679	9.59369
Mtr.10104.1.S1_at	136.14	127.615	224.92
Mtr.10105.1.S1_at	4.69064	6.48819	6.46218
Mtr.10105.1.S1_s_at	21.7722	27.8823	27.8483
Mtr.10106.1.S1_at	26.5351	25.5431	22.8884
Mtr.10107.1.S1_at	39.7312	44.2768	39.1211
Mtr.10107.1.S1_s_at	70.8651	65.5393	65.9903
Mtr.10108.1.S1_at	7.50845	9.00303	8.61406
Mtr.10109.1.S1_s_at	91.0049	70.6333	74.7186
Mtr.1011.1.S1_at	15.6533	22.3458	14.5541
Mtr.10110.1.S1_at	1221.03	1059.78	1060.48
Mtr.10111.1.S1_at	12.9219	14.4487	10.6614
Mtr.10112.1.S1_at	13.0729	16.4732	12.0014
Mtr.10113.1.S1_at	19.4493	12.9163	13.2539
Mtr.10114.1.S1_at	7.81905	8.66061	8.27347
Mtr.10115.1.S1_at	80.365	77.0269	69.8092
Mtr.10116.1.S1_at	440.207	358.774	361.263
Mtr.10116.1.S1_s_at	153.377	138.072	159.245
Mtr.10117.1.S1_at	14.1663	20.3244	13.0671
Mtr.10118.1.S1_at	24.9228	31.2392	28.3798
