Probeset	ART_00meristem_1	ART_00meristem_2	ART_00meristem_3
Mtr.1.1.S1_at	26.56	46.1849	43.1456
Mtr.1.1.S1_s_at	595.719	595.618	593.356
Mtr.10.1.S1_at	10.2369	12.3022	12.9046
Mtr.100.1.S1_at	20.0095	11.8538	27.0187
Mtr.1000.1.S1_at	15.0215	11.3736	15.5593
Mtr.10000.1.S1_at	384.14	408.572	459.961
Mtr.10001.1.S1_at	99.4284	87.7804	99.4949
Mtr.10001.1.S1_s_at	353.506	380.636	390.87
Mtr.10002.1.S1_at	36.5918	35.8097	42.8334
Mtr.10003.1.S1_at	38.0068	8.49436	14.8293
Mtr.10004.1.S1_at	11.4397	11.4556	14.0152
Mtr.10005.1.S1_at	240.769	239.983	284.144
Mtr.10006.1.S1_at	9.88385	13.6018	11.0909
Mtr.10007.1.S1_at	151.111	170.587	180.921
Mtr.10008.1.S1_at	32.4032	33.2704	33.1274
Mtr.10009.1.S1_at	608.954	670.2	955.04
Mtr.1001.1.S1_at	6.16112	6.49884	6.88229
Mtr.10010.1.S1_at	66.6383	67.3122	79.8996
Mtr.10011.1.S1_at	8.55901	7.66604	8.71778
Mtr.10012.1.S1_at	5.89282	6.65341	6.99541
Mtr.10013.1.S1_at	2179.17	2150.45	2080.46
Mtr.10014.1.S1_at	7.24429	12.2691	8.93145
Mtr.10015.1.S1_at	41.4001	45.827	47.8667
Mtr.10016.1.S1_at	517.416	510.198	477.705
Mtr.10017.1.S1_at	17.1839	21.3912	18.1886
Mtr.10018.1.S1_at	288.852	260.542	264.431
Mtr.10019.1.S1_at	90.2235	91.9338	86.0787
Mtr.1002.1.S1_at	7.50728	9.58489	10.0977
Mtr.10020.1.S1_at	33.1268	31.6373	46.0816
Mtr.10021.1.S1_at	9.02602	10.6953	8.06528
Mtr.10022.1.S1_at	253.344	299.389	238.177
Mtr.10023.1.S1_at	264.582	244.157	274.666
Mtr.10024.1.S1_at	6.5302	8.06734	6.72116
Mtr.10025.1.S1_at	9.82192	14.0139	14.5054
Mtr.10026.1.S1_at	45.8465	51.6645	32.6228
Mtr.10026.1.S1_s_at	183.784	176.174	146.365
Mtr.10027.1.S1_at	16.4976	21.4662	24.98
Mtr.10028.1.S1_at	195.339	170.297	145.254
Mtr.10029.1.S1_at	10.1377	8.16681	22.0358
Mtr.10029.1.S1_s_at	42.8371	27.87	52.603
Mtr.10030.1.S1_at	598.203	627.009	790.619
Mtr.10031.1.S1_at	407.177	357.008	335.242
Mtr.10032.1.S1_at	7.43608	6.25937	6.79841
Mtr.10034.1.S1_at	38.8038	37.9329	30.2038
Mtr.10035.1.S1_at	80.2097	68.0116	61.482
Mtr.10036.1.S1_at	28.8354	37.6293	25.9694
Mtr.10037.1.S1_at	491.585	573.528	679.148
Mtr.10039.1.S1_at	149.429	137.547	123.483
Mtr.1004.1.S1_at	7.02894	7.24298	7.59601
Mtr.10040.1.S1_at	17.9497	12.4432	14.3193
Mtr.10041.1.S1_at	286.678	320.231	291.306
Mtr.10042.1.S1_at	499.204	529.715	491.575
Mtr.10043.1.S1_at	231.524	198.729	219.981
Mtr.10044.1.S1_at	164.733	170.777	140.693
Mtr.10045.1.S1_at	133.504	199.063	207.82
Mtr.10046.1.S1_at	152.277	114.414	119.211
Mtr.10047.1.S1_at	16.3988	12.8856	17.1877
Mtr.10048.1.S1_at	66.4791	73.0841	83.736
Mtr.10049.1.S1_at	116.133	106.942	108.357
Mtr.1005.1.S1_at	6.6548	6.87858	7.33401
Mtr.10050.1.S1_at	7.98199	7.57575	9.19048
Mtr.10051.1.S1_at	347.234	341.214	352.481
Mtr.10052.1.S1_at	10.6922	10.2115	14.9541
Mtr.10053.1.S1_at	9.86858	7.6087	6.89418
Mtr.10054.1.S1_at	87.4826	76.9635	77.4954
Mtr.10055.1.S1_at	183.693	314.655	277.617
Mtr.10056.1.S1_at	7.57086	8.60197	7.28408
Mtr.10057.1.S1_at	21.6671	21.1475	19.9408
Mtr.10058.1.S1_at	13.7086	13.1378	10.2631
Mtr.10059.1.S1_at	566.677	476.518	504.112
Mtr.1006.1.S1_at	6.88412	6.0478	6.97968
Mtr.10061.1.S1_at	37.8624	36.5411	25.6212
Mtr.10062.1.S1_at	538.408	461.002	471.486
Mtr.10063.1.S1_at	13.1946	14.9584	11.1993
Mtr.10064.1.S1_at	122.13	139.6	113.339
Mtr.10065.1.S1_at	77.034	73.3827	55.9305
Mtr.10066.1.S1_at	234.525	239.225	260.845
Mtr.10067.1.S1_at	9.68249	11.3253	9.98303
Mtr.10067.1.S1_s_at	205.905	240.266	268.003
Mtr.10068.1.S1_at	178.659	202.819	207.273
Mtr.10069.1.S1_at	24.7249	21.9746	21.4013
Mtr.1007.1.S1_at	12.9982	11.4339	11.5605
Mtr.10070.1.S1_at	148.697	157.422	152.095
Mtr.10071.1.S1_at	78.0153	88.6606	62.8447
Mtr.10071.1.S1_s_at	31.9362	35.203	30.4275
Mtr.10072.1.S1_at	716.342	647.443	679.009
Mtr.10073.1.S1_at	13.4181	9.93419	17.6728
Mtr.10074.1.S1_at	6.18663	6.56887	7.7701
Mtr.10076.1.S1_at	9.1465	10.7498	11.2915
Mtr.10077.1.S1_at	745.197	741.558	604.876
Mtr.10078.1.S1_at	6.12895	7.55422	5.78539
Mtr.10079.1.S1_at	1049.74	1121.02	1086.39
Mtr.1008.1.S1_at	6.94275	5.99487	6.42997
Mtr.10080.1.S1_at	6.60076	6.96019	5.45657
Mtr.10081.1.S1_at	11.7885	13.5889	12.8145
Mtr.10081.1.S1_s_at	38.3134	35.0407	50.2139
Mtr.10082.1.S1_at	54.1726	59.5181	42.7293
Mtr.10083.1.S1_at	15.8616	11.2628	10.7914
Mtr.10084.1.S1_at	31.088	27.5655	35.674
Mtr.10085.1.S1_at	556.003	742.829	768.547
Mtr.10086.1.S1_at	308.506	242.303	227.03
Mtr.10086.1.S1_s_at	426.196	394.889	355.897
Mtr.10087.1.S1_at	9.16143	9.42696	9.84197
Mtr.10088.1.S1_at	611.894	548.953	578.978
Mtr.10089.1.S1_at	8.9113	6.25492	7.22923
Mtr.1009.1.S1_at	7.62847	6.55001	8.02118
Mtr.10090.1.S1_at	121.622	125.048	125.303
Mtr.10091.1.S1_at	14.6669	18.4271	12.1508
Mtr.10092.1.S1_at	839.834	848.727	880.369
Mtr.10093.1.S1_at	8.3824	9.48617	7.84933
Mtr.10093.1.S1_x_at	9.73065	7.80289	8.6638
