Probeset	Nod_06dpi_1	Nod_06dpi_2	Nod_06dpi_3
Mtr.1.1.S1_at	14.8305	18.6326	9.90559
Mtr.1.1.S1_s_at	649.572	677.155	651.024
Mtr.10.1.S1_at	8.36355	9.69324	8.35297
Mtr.100.1.S1_at	7.96635	9.13875	8.22303
Mtr.1000.1.S1_at	9.64364	14.4006	10.3869
Mtr.10000.1.S1_at	341.14	321.473	339.933
Mtr.10001.1.S1_at	143.375	145.637	164.301
Mtr.10001.1.S1_s_at	709.642	737.946	742.114
Mtr.10002.1.S1_at	37.7889	33.5131	37.6285
Mtr.10003.1.S1_at	2975.6	3288.99	2863.1
Mtr.10004.1.S1_at	12.1785	8.76566	9.69368
Mtr.10005.1.S1_at	215.649	199.308	162.534
Mtr.10006.1.S1_at	16.9296	13.1373	14.9518
Mtr.10007.1.S1_at	154.155	131.703	151.395
Mtr.10008.1.S1_at	37.4831	37.7121	41.8414
Mtr.10009.1.S1_at	599.544	542.875	524.672
Mtr.1001.1.S1_at	8.19706	6.15103	7.07289
Mtr.10010.1.S1_at	84.7232	102.948	89.3561
Mtr.10011.1.S1_at	7.08204	7.5587	7.81734
Mtr.10012.1.S1_at	6.97153	5.98876	6.12427
Mtr.10013.1.S1_at	3359.37	3030.96	3088.83
Mtr.10014.1.S1_at	6.68416	7.41058	7.91983
Mtr.10015.1.S1_at	36.1231	35.0713	36.8997
Mtr.10016.1.S1_at	407.705	413.435	349.471
Mtr.10017.1.S1_at	28.5094	27.7137	25.6902
Mtr.10018.1.S1_at	138.02	130.353	151.988
Mtr.10019.1.S1_at	117.291	115.733	127.568
Mtr.1002.1.S1_at	9.47987	9.89495	8.37725
Mtr.10020.1.S1_at	29.4653	32.3868	30.6236
Mtr.10021.1.S1_at	14.3294	9.84085	10.4601
Mtr.10022.1.S1_at	396.819	403.42	400.899
Mtr.10023.1.S1_at	371.679	373.927	356.099
Mtr.10024.1.S1_at	9.61746	6.12973	8.20476
Mtr.10025.1.S1_at	12.4964	14.9737	10.6385
Mtr.10026.1.S1_at	71.9258	72.4733	66.1096
Mtr.10026.1.S1_s_at	282.857	245.413	234.52
Mtr.10027.1.S1_at	9.97125	9.52013	11.1176
Mtr.10028.1.S1_at	102.537	97.6476	92.286
Mtr.10029.1.S1_at	15.6834	19.4888	16.2313
Mtr.10029.1.S1_s_at	99.7971	82.1282	85.2311
Mtr.10030.1.S1_at	342.416	302.616	326.808
Mtr.10031.1.S1_at	310.539	312.044	300.869
Mtr.10032.1.S1_at	5.93481	6.7238	7.62563
Mtr.10034.1.S1_at	89.2291	92.7228	107.038
Mtr.10035.1.S1_at	44.0324	38.0323	49.2688
Mtr.10036.1.S1_at	139.936	169.289	158.913
Mtr.10037.1.S1_at	219.656	204.101	192.913
Mtr.10039.1.S1_at	30.323	27.8201	26.5952
Mtr.1004.1.S1_at	7.93349	6.75532	6.94625
Mtr.10040.1.S1_at	14.1908	16.5129	15.0413
Mtr.10041.1.S1_at	318.945	339.89	323.16
Mtr.10042.1.S1_at	297.768	306.41	321.574
Mtr.10043.1.S1_at	81.5859	84.0641	99.1356
Mtr.10044.1.S1_at	235.984	211.062	172.414
Mtr.10045.1.S1_at	477.968	525.818	699.619
Mtr.10046.1.S1_at	137.136	155.319	142.715
Mtr.10047.1.S1_at	16.4792	12.6479	14.9618
Mtr.10048.1.S1_at	92.7046	97.2695	115.044
Mtr.10049.1.S1_at	43.8791	49.4077	73.4127
Mtr.1005.1.S1_at	6.85343	8.01859	6.50581
Mtr.10050.1.S1_at	7.54091	6.75532	6.52331
Mtr.10051.1.S1_at	379.073	333.847	315.281
Mtr.10052.1.S1_at	10.1638	10.6916	10.0182
Mtr.10053.1.S1_at	1567.06	3058.45	2474.39
Mtr.10054.1.S1_at	88.801	84.6401	90.7818
Mtr.10055.1.S1_at	538.488	548.258	543.698
Mtr.10056.1.S1_at	11.9102	9.19113	15.7792
Mtr.10057.1.S1_at	25.9043	23.2115	26.6971
Mtr.10058.1.S1_at	17.6855	17.1197	12.9208
Mtr.10059.1.S1_at	474.007	473.11	482.912
Mtr.1006.1.S1_at	5.91474	5.34089	6.32073
Mtr.10061.1.S1_at	26.6882	33.6303	27.7528
Mtr.10062.1.S1_at	344.956	375.276	350.368
Mtr.10063.1.S1_at	8.1767	9.07655	8.93024
Mtr.10064.1.S1_at	30.2374	18.552	18.5313
Mtr.10065.1.S1_at	108.299	106.307	115.252
Mtr.10066.1.S1_at	234.957	258.028	223.108
Mtr.10067.1.S1_at	13.5729	8.66539	10.3949
Mtr.10067.1.S1_s_at	296.155	282.212	318.87
Mtr.10068.1.S1_at	129.269	122.889	132.426
Mtr.10069.1.S1_at	19.6482	16.5932	17.5468
Mtr.1007.1.S1_at	15.161	10.6043	12.3284
Mtr.10070.1.S1_at	166.458	161.397	165.053
Mtr.10071.1.S1_at	156.744	184.822	142.844
Mtr.10071.1.S1_s_at	148.987	140.938	140.12
Mtr.10072.1.S1_at	962.57	927.039	917.698
Mtr.10073.1.S1_at	15.2497	14.9151	16.2809
Mtr.10074.1.S1_at	6.39736	6.48838	5.86147
Mtr.10076.1.S1_at	9.50875	9.24054	7.98039
Mtr.10077.1.S1_at	512.578	516.19	535.485
Mtr.10078.1.S1_at	6.9584	6.26917	7.71814
Mtr.10079.1.S1_at	531.42	471.765	528.173
Mtr.1008.1.S1_at	6.47731	6.75532	6.3283
Mtr.10080.1.S1_at	6.27576	6.62423	7.95009
Mtr.10081.1.S1_at	9.73333	9.98952	10.2747
Mtr.10081.1.S1_s_at	24.9498	28.682	28.7199
Mtr.10082.1.S1_at	43.8164	46.4213	42.7502
Mtr.10083.1.S1_at	10.962	10.9899	10.819
Mtr.10084.1.S1_at	95.8085	104.726	114.33
Mtr.10085.1.S1_at	686.541	637.409	794.255
Mtr.10086.1.S1_at	247.296	258.346	251.666
Mtr.10086.1.S1_s_at	524.799	468.7	443.247
Mtr.10087.1.S1_at	7.26428	6.67869	7.95009
Mtr.10088.1.S1_at	413.349	503.635	435.52
Mtr.10089.1.S1_at	5.76014	8.04357	7.40657
Mtr.1009.1.S1_at	7.31687	5.98876	7.25565
Mtr.10090.1.S1_at	57.4863	69.6534	64.3261
Mtr.10091.1.S1_at	14.7931	17.6683	19.0518
Mtr.10092.1.S1_at	690.105	701.633	645.268
Mtr.10093.1.S1_at	11.1792	11.3224	12.7673
Mtr.10093.1.S1_x_at	12.8159	14.3747	12.3681
Mtr.10094.1.S1_at	8.34273	8.94501	7.15103
Mtr.10095.1.S1_at	7.57083	5.55957	5.8949
Mtr.10096.1.S1_at	5.78307	6.28181	6.00386
Mtr.10097.1.S1_at	119.044	92.2706	111.906
Mtr.10098.1.S1_at	9.76621	11.1898	9.68836
Mtr.10099.1.S1_s_at	46.1249	53.5864	58.2776
Mtr.101.1.S1_at	4.86757	6.01156	5.90385
Mtr.1010.1.S1_at	40.7339	36.7367	37.0992
Mtr.10100.1.S1_at	12.2604	11.6557	11.7466
Mtr.10101.1.S1_at	128.723	137.713	135.067
Mtr.10102.1.S1_at	919.971	824.483	796.348
Mtr.10103.1.S1_at	7.76985	8.67804	7.37565
Mtr.10104.1.S1_at	61.8383	57.7244	77.3162
Mtr.10105.1.S1_at	9.16021	8.04384	8.54078
Mtr.10105.1.S1_s_at	122.994	150.883	175.172
Mtr.10106.1.S1_at	114.45	128.507	110.447
Mtr.10107.1.S1_at	171.02	164.874	167.722
Mtr.10107.1.S1_s_at	215.106	243.13	226.128
Mtr.10108.1.S1_at	8.87241	9.09161	8.07676
Mtr.10109.1.S1_s_at	71.4302	80.5289	82.1463
Mtr.1011.1.S1_at	13.7675	15.9377	14.2343
Mtr.10110.1.S1_at	1097.05	1051.79	1017.9
Mtr.10111.1.S1_at	18.5485	14.0052	18.0517
Mtr.10112.1.S1_at	13.5224	10.5913	15.0655
Mtr.10113.1.S1_at	12.4325	11.4981	14.7289
Mtr.10114.1.S1_at	12.6812	9.31261	11.7213
Mtr.10115.1.S1_at	84.3283	93.5865	104.333
Mtr.10116.1.S1_at	393.566	360.935	395.608
Mtr.10116.1.S1_s_at	132.102	124.671	119.342
Mtr.10117.1.S1_at	11.3736	12.676	9.0386
Mtr.10118.1.S1_at	48.2033	53.7948	51.7214
Mtr.10119.1.S1_at	87.1762	95.6112	78.7942
Mtr.1012.1.S1_at	11.6739	11.4319	11.6667
Mtr.10120.1.S1_at	404.766	424.756	446.43
Mtr.10121.1.S1_at	136.805	177.556	189.777
Mtr.10122.1.S1_at	5.97294	6.36561	7.20815
Mtr.10123.1.S1_at	348.961	310.612	332.788
Mtr.10124.1.S1_at	6.88932	8.69892	7.9657
Mtr.10125.1.S1_at	9.8303	9.0419	11.7847
Mtr.10126.1.S1_at	1922.01	1781.44	1769.63
Mtr.10127.1.S1_at	11.1855	11.7484	8.90296
Mtr.10127.1.S1_s_at	24.3851	28.1721	24.8565
Mtr.10128.1.S1_at	74.8156	60.4251	57.794
Mtr.10129.1.S1_at	398.946	434.608	417.799
Mtr.1013.1.S1_at	6.87851	8.05496	9.13414
Mtr.10130.1.S1_at	264.452	259.425	263.465
Mtr.10131.1.S1_at	49.4032	65.9791	69.6304
Mtr.10132.1.S1_at	203.97	176.172	208.864
Mtr.10133.1.S1_at	384.897	394.426	385.86
Mtr.10134.1.S1_at	10.7608	19.4818	16.5045
Mtr.10135.1.S1_at	33.9789	32.798	30.9156
Mtr.10136.1.S1_at	63.6976	79.0661	73.8775
Mtr.10137.1.S1_at	149.669	182.962	198.256
Mtr.10138.1.S1_at	967.238	1003.59	958.775
Mtr.10139.1.S1_at	225.242	214.857	246.816
Mtr.1014.1.S1_at	108.247	108.365	122.348
Mtr.10140.1.S1_at	660.753	638.269	614.765
Mtr.10141.1.S1_at	15.9311	14.6272	12.9316
Mtr.10142.1.S1_at	144.947	178.101	191.822
Mtr.10143.1.S1_at	7.27548	5.72913	6.3144
Mtr.10144.1.S1_at	81.9207	76.0062	75.6638
Mtr.10145.1.S1_at	89.8014	103.573	115.237
Mtr.10146.1.S1_at	7.57405	8.37784	7.56395
Mtr.10146.1.S1_s_at	8.33249	7.04397	8.27137
Mtr.10147.1.S1_at	9.46523	12.3886	9.13287
Mtr.10148.1.S1_at	463.671	435.515	458.55
Mtr.10149.1.S1_at	8.41803	6.21158	7.39952
Mtr.1015.1.S1_at	25.5133	26.5301	34.5642
Mtr.10150.1.S1_at	9.87226	8.62871	10.5747
Mtr.10151.1.S1_s_at	312.87	269.895	296.741
Mtr.10152.1.S1_at	326.59	339.743	324.307
Mtr.10153.1.S1_at	22.009	16.7807	25.3478
Mtr.10153.1.S1_s_at	78.3394	74.6763	94.8266
Mtr.10154.1.S1_at	9.85818	8.74786	8.56242
Mtr.10155.1.S1_at	96.4596	114.382	108.366
Mtr.10156.1.S1_at	39.0893	36.5661	33.663
Mtr.10157.1.S1_at	505.276	541.957	512.212
Mtr.10158.1.S1_at	512.675	535.452	612.551
Mtr.10159.1.S1_at	282.857	233.504	227.594
Mtr.1016.1.S1_at	46.0748	42.8773	49.3222
Mtr.10160.1.S1_at	5.91679	7.62318	6.17844
Mtr.10160.1.S1_x_at	6.87851	7.04397	7.3419
Mtr.10161.1.S1_at	202.708	210.191	180.611
Mtr.10162.1.S1_at	223.846	229.204	234.345
Mtr.10163.1.S1_at	167.304	182.424	184.916
Mtr.10164.1.S1_at	112.513	106.731	116.65
Mtr.10165.1.S1_at	390.272	390.83	351.316
Mtr.10166.1.S1_at	827.809	850.838	808.326
Mtr.10167.1.S1_at	60.8385	69.9191	75.9524
Mtr.10168.1.S1_at	201.294	211.58	173.879
Mtr.10169.1.S1_at	200.587	184.309	177.123
Mtr.1017.1.S1_at	6.15316	6.04475	6.93853
Mtr.10170.1.S1_at	21.6694	18.1253	21.8164
Mtr.10171.1.S1_at	34.4213	50.7159	35.287
Mtr.10172.1.S1_at	139.599	134.71	129.112
Mtr.10173.1.S1_at	578.345	552.652	529.618
Mtr.10174.1.S1_at	7.23897	6.87249	7.27622
Mtr.10175.1.S1_at	875.024	917.447	786.453
Mtr.10176.1.S1_at	149.147	174.874	150.965
Mtr.10177.1.S1_at	213.078	206.563	197.41
Mtr.10178.1.S1_at	467.749	448.982	444.859
Mtr.10179.1.S1_at	12.3988	13.1896	13.5874
Mtr.1018.1.S1_at	12.4932	10.0165	11.9752
Mtr.1018.1.S1_s_at	462.894	459.145	510.069
Mtr.10180.1.S1_at	33.3479	34.8103	29.1148
Mtr.10181.1.S1_at	47.6397	44.2457	50.8162
Mtr.10182.1.S1_at	12.097	10.6559	12.7652
Mtr.10183.1.S1_s_at	111.572	115.091	125.399
Mtr.10184.1.S1_at	27.763	34.8657	24.6721
Mtr.10185.1.S1_at	34.3538	35.6984	32.9266
Mtr.10186.1.S1_at	9.32062	13.599	11.2477
Mtr.10187.1.S1_at	1347.26	1694.85	1740.11
Mtr.10188.1.S1_at	99.5007	82.6084	104.894
Mtr.10188.1.S1_x_at	100.035	99.4344	113.06
Mtr.10189.1.S1_at	67.018	66.3745	67.2244
Mtr.1019.1.S1_at	7.16782	5.91022	6.60498
Mtr.10190.1.S1_at	23.4975	22.4294	38.9175
Mtr.10191.1.S1_at	18.0355	15.6762	18.7577
Mtr.10192.1.S1_at	15.6858	21.4569	25.1135
Mtr.10193.1.S1_at	193.922	226.121	218.913
Mtr.10194.1.S1_at	111.297	125.31	127.11
Mtr.10195.1.S1_at	11.6498	11.1174	11.6401
Mtr.10196.1.S1_at	52.4078	45.3363	41.849
Mtr.10197.1.S1_at	183.394	184.201	190.51
Mtr.10198.1.S1_at	10.6836	8.21929	9.82436
Mtr.10199.1.S1_at	700.218	788.496	720.331
Mtr.10199.1.S1_s_at	642.189	683.012	612.693
Mtr.102.1.S1_x_at	33.97	36.8167	36.3912
Mtr.1020.1.S1_at	82.6796	69.7377	64.5372
Mtr.10200.1.S1_at	689.097	750.632	663.526
Mtr.10201.1.S1_at	54.6289	61.7733	54.1505
Mtr.10202.1.S1_at	60.9175	72.6959	62.0733
Mtr.10203.1.S1_at	634.294	674.925	612.181
Mtr.10203.1.S1_s_at	524.007	538.275	485.471
Mtr.10204.1.S1_at	436.494	436.452	393.66
Mtr.10205.1.S1_at	114.03	134.973	123.192
Mtr.10206.1.S1_at	7.32563	6.2315	6.71665
Mtr.10207.1.S1_at	28.0673	24.8124	23.3124
Mtr.10208.1.S1_at	6.84216	6.2315	6.28379
Mtr.10209.1.S1_at	512.85	485.995	548.56
Mtr.1021.1.S1_at	10.8845	10.8172	11.7842
Mtr.10210.1.S1_at	7.57405	8.05169	8.4694
Mtr.10211.1.S1_at	417.21	397.642	402.975
Mtr.10212.1.S1_at	922.607	956.48	935.571
Mtr.10213.1.S1_at	643.928	640.493	675.771
Mtr.10214.1.S1_at	6.87851	7.34048	6.26688
Mtr.10215.1.S1_at	77.2352	82.3864	78.1134
Mtr.10216.1.S1_at	160.89	148.417	180.9
Mtr.10217.1.S1_at	9.9507	14.3701	11.1093
Mtr.10218.1.S1_at	295.299	259.801	293.243
Mtr.10219.1.S1_at	47.1521	34.1093	51.3157
Mtr.1022.1.S1_at	7.57405	5.92269	6.79991
Mtr.10220.1.S1_s_at	8.9107	5.63175	7.79833
Mtr.10221.1.S1_at	36.8413	68.644	101.649
Mtr.10222.1.S1_at	56.7699	100.442	80.6962
Mtr.10223.1.S1_at	6.79582	8.73321	7.74854
Mtr.10224.1.S1_at	13.7962	19.0108	18.5167
Mtr.10225.1.S1_at	79.7969	77.3245	73.169
Mtr.10226.1.S1_at	172.732	175.828	190.795
Mtr.10227.1.S1_at	12.5741	11.5957	12.1418
Mtr.10228.1.S1_at	8.87494	10.2963	9.35002
Mtr.10229.1.S1_at	52.9899	50.3726	53.7434
Mtr.1023.1.S1_at	8.08377	6.6155	8.32122
Mtr.10230.1.S1_at	155.889	151.112	135.874
Mtr.10231.1.S1_at	15.1228	15.3216	15.3164
Mtr.10232.1.S1_at	15.5503	21.0932	16.6279
Mtr.10233.1.S1_at	1264.37	1295.58	1352.69
Mtr.10234.1.S1_at	6.46988	5.94869	7.56582
Mtr.10234.1.S1_s_at	32.1334	28.0346	28.814
Mtr.10235.1.S1_at	9.50833	9.91858	8.32897
Mtr.10236.1.S1_at	28.6707	24.7963	25.0965
Mtr.10237.1.S1_at	27.6421	26.6453	31.8581
Mtr.10238.1.S1_at	133.714	137.654	131.098
Mtr.10239.1.S1_at	100.17	112.642	103.467
Mtr.10240.1.S1_at	254.576	248.305	256.962
Mtr.10241.1.S1_at	14.1798	14.6557	34.0415
Mtr.10242.1.S1_at	191.916	199.767	183.974
Mtr.10243.1.S1_at	70.4474	87.7317	83.9093
Mtr.10244.1.S1_at	90.4347	69.1131	67.4693
Mtr.10245.1.S1_at	326.296	348.494	349.292
Mtr.10246.1.S1_at	14.0622	16.2992	13.5257
Mtr.10247.1.S1_at	266.355	264.004	263.285
Mtr.10248.1.S1_at	607.198	519.732	505.994
Mtr.10249.1.S1_at	11097.6	10754.4	9644.49
Mtr.1025.1.S1_at	8.01328	8.28663	9.27376
Mtr.10250.1.S1_at	7.62928	8.31153	8.66205
Mtr.10251.1.S1_at	483.401	459.152	494.588
Mtr.10252.1.S1_at	9.92495	9.19149	8.38074
Mtr.10253.1.S1_at	109.87	112.235	95.3097
Mtr.10254.1.S1_at	928.671	1028.2	1008.25
Mtr.10255.1.S1_at	803.647	823.66	954.711
Mtr.10256.1.S1_at	29.8431	37.597	28.2048
Mtr.10257.1.S1_at	136.876	91.5457	111.336
Mtr.10258.1.S1_at	53.3167	57.7119	66.7454
Mtr.10259.1.S1_at	7.87665	11.9183	8.88944
Mtr.10261.1.S1_at	30.5502	40.7029	40.3651
Mtr.10262.1.S1_at	39.8869	37.8116	55.5226
Mtr.10263.1.S1_at	1156.02	1083.59	1191.75
Mtr.10264.1.S1_at	24.335	17.2247	20.4334
Mtr.10265.1.S1_at	222.769	212.89	220.542
