Probeset	Nod_28dpi_1	Nod_28dpi_2	Nod_28dpi_3
Mtr.1.1.S1_at	167.168	106.824	108.127
Mtr.1.1.S1_s_at	688.703	600.698	604.37
Mtr.10.1.S1_at	9.95318	15.2487	12.244
Mtr.100.1.S1_at	10.079	10.966	9.22927
Mtr.1000.1.S1_at	14.3254	15.8663	15.0883
Mtr.10000.1.S1_at	333.554	308.46	229.481
Mtr.10001.1.S1_at	105.831	94.7224	102.871
Mtr.10001.1.S1_s_at	466.896	505.672	517.629
Mtr.10002.1.S1_at	24.7196	25.8563	25.2563
Mtr.10003.1.S1_at	3984.96	3176.87	3803.09
Mtr.10004.1.S1_at	11.448	8.19277	9.25761
Mtr.10005.1.S1_at	79.2819	86.2842	116.215
Mtr.10006.1.S1_at	66.9908	70.9242	52.7211
Mtr.10007.1.S1_at	154.167	105.622	138.104
Mtr.10008.1.S1_at	30.9457	30.9635	28.6587
Mtr.10009.1.S1_at	363.29	411.923	569.871
Mtr.1001.1.S1_at	6.86357	6.04852	7.22979
Mtr.10010.1.S1_at	348.651	353.02	363.284
Mtr.10011.1.S1_at	5.6515	6.75111	7.44886
Mtr.10012.1.S1_at	6.84707	6.61839	8.25415
Mtr.10013.1.S1_at	1598.29	1657.99	2237.45
Mtr.10014.1.S1_at	7.84709	7.35582	8.14423
Mtr.10015.1.S1_at	48.2634	53.1828	34.3751
Mtr.10016.1.S1_at	247.615	282.526	199.791
Mtr.10017.1.S1_at	33.2207	23.962	23.7618
Mtr.10018.1.S1_at	104.705	114.372	120.356
Mtr.10019.1.S1_at	398.229	436.539	373.391
Mtr.1002.1.S1_at	9.80112	8.03554	8.94599
Mtr.10020.1.S1_at	14.6516	15.2488	20.1297
Mtr.10021.1.S1_at	7.42232	9.56281	8.08971
Mtr.10022.1.S1_at	270.037	268.787	247.441
Mtr.10023.1.S1_at	89.6089	145.174	121.544
Mtr.10024.1.S1_at	7.71812	7.59626	8.42451
Mtr.10025.1.S1_at	53.3266	80.3785	77.4469
Mtr.10026.1.S1_at	56.0826	67.908	72.8444
Mtr.10026.1.S1_s_at	205.188	221.54	277.831
Mtr.10027.1.S1_at	11.1054	8.47018	13.7998
Mtr.10028.1.S1_at	64.5508	36.7767	50.3273
Mtr.10029.1.S1_at	19.0365	15.5985	24.0986
Mtr.10029.1.S1_s_at	148.684	115.971	210.029
Mtr.10030.1.S1_at	255.806	266.47	231.369
Mtr.10031.1.S1_at	171.058	141.495	173.782
Mtr.10032.1.S1_at	8.22944	8.83739	9.07475
Mtr.10034.1.S1_at	64.6043	78.8347	62.8936
Mtr.10035.1.S1_at	33.1501	26.5749	29.9661
Mtr.10036.1.S1_at	89.3472	105.62	91.4327
Mtr.10037.1.S1_at	70.8494	81.4735	57.536
Mtr.10039.1.S1_at	17.8824	17.2613	21.1182
Mtr.1004.1.S1_at	6.7878	6.6743	7.56491
Mtr.10040.1.S1_at	22.2824	27.0093	18.8653
Mtr.10041.1.S1_at	432.356	522.816	457.946
Mtr.10042.1.S1_at	375.077	380.235	293.58
Mtr.10043.1.S1_at	21.169	31.409	27.4669
Mtr.10044.1.S1_at	425.781	373.722	343.112
Mtr.10045.1.S1_at	596.97	684.425	575.3
Mtr.10046.1.S1_at	141.343	180.623	115.382
Mtr.10047.1.S1_at	10.848	14.9339	13.8713
Mtr.10048.1.S1_at	190.408	177.676	167.357
Mtr.10049.1.S1_at	62.2459	65.7924	73.81
Mtr.1005.1.S1_at	6.15936	5.97611	8.20806
Mtr.10050.1.S1_at	5.80852	7.23955	7.28369
Mtr.10051.1.S1_at	219.593	171.178	187.714
Mtr.10052.1.S1_at	13.8825	11.742	14.9401
Mtr.10053.1.S1_at	1688.6	1729.6	2004.1
Mtr.10054.1.S1_at	45.6798	71.3335	47.7734
Mtr.10055.1.S1_at	515.596	547.033	469.88
Mtr.10056.1.S1_at	11.932	12.1861	14.6958
Mtr.10057.1.S1_at	33.7258	35.2106	31.4774
Mtr.10058.1.S1_at	13.5515	13.4009	14.3868
Mtr.10059.1.S1_at	465.613	484.321	450.639
Mtr.1006.1.S1_at	5.88757	5.05666	5.70196
Mtr.10061.1.S1_at	180.43	223.482	230.698
Mtr.10062.1.S1_at	144.179	188.492	166.64
Mtr.10063.1.S1_at	7.92026	5.82473	7.9144
Mtr.10064.1.S1_at	24.6783	15.1709	19.8572
Mtr.10065.1.S1_at	60.0666	61.8058	61.1799
Mtr.10066.1.S1_at	159.282	160.914	137.88
Mtr.10067.1.S1_at	10.7335	11.8313	10.4718
Mtr.10067.1.S1_s_at	291.169	337.517	278.12
Mtr.10068.1.S1_at	131.353	120.268	112.334
Mtr.10069.1.S1_at	17.1756	19.8882	22.1862
Mtr.1007.1.S1_at	17.2601	24.1485	18.7774
Mtr.10070.1.S1_at	163.931	157.342	153.397
Mtr.10071.1.S1_at	72.5619	80.8585	30.8818
Mtr.10071.1.S1_s_at	231.296	264.082	125.378
Mtr.10072.1.S1_at	684.673	735.755	648.524
Mtr.10073.1.S1_at	34.743	46.9265	41.8156
Mtr.10074.1.S1_at	7.10568	6.4786	6.57704
Mtr.10076.1.S1_at	9.22889	8.92093	8.84945
Mtr.10077.1.S1_at	226.134	303.445	326.213
Mtr.10078.1.S1_at	6.47248	7.04831	6.46335
Mtr.10079.1.S1_at	442.61	370.181	550.903
Mtr.1008.1.S1_at	7.14553	7.06994	6.76483
Mtr.10080.1.S1_at	8.03466	8.53057	8.1123
Mtr.10081.1.S1_at	9.25339	7.51522	9.59093
Mtr.10081.1.S1_s_at	20.9508	17.2344	27.4479
Mtr.10082.1.S1_at	35.8313	30.5389	25.4256
Mtr.10083.1.S1_at	13.5364	14.5168	12.5144
Mtr.10084.1.S1_at	59.7284	67.6802	53.721
Mtr.10085.1.S1_at	235.52	275.905	381.714
Mtr.10086.1.S1_at	75.9333	96.033	77.7907
Mtr.10086.1.S1_s_at	272.418	323.215	287.574
Mtr.10087.1.S1_at	11.1646	12.5368	14.6989
Mtr.10088.1.S1_at	429.969	322.899	369.04
Mtr.10089.1.S1_at	5.77071	6.34153	5.41914
Mtr.1009.1.S1_at	6.67379	7.16706	6.99667
Mtr.10090.1.S1_at	85.9018	82.9111	53.3659
Mtr.10091.1.S1_at	22.2412	26.4824	36.3025
Mtr.10092.1.S1_at	754.36	733.455	611.658
Mtr.10093.1.S1_at	6.68932	7.65423	7.44529
Mtr.10093.1.S1_x_at	10.2696	8.43019	7.21181
Mtr.10094.1.S1_at	11.5778	11.3403	9.32271
Mtr.10095.1.S1_at	6.74744	8.7295	6.78841
Mtr.10096.1.S1_at	5.86436	6.45889	5.70878
Mtr.10097.1.S1_at	124.339	125.885	102.22
Mtr.10098.1.S1_at	8.59532	11.0195	11.0004
Mtr.10099.1.S1_s_at	50.1698	49.5865	45.527
Mtr.101.1.S1_at	6.067	4.97576	5.69151
Mtr.1010.1.S1_at	58.0899	54.7529	58.56
Mtr.10100.1.S1_at	20.2145	24.5313	19.7671
Mtr.10101.1.S1_at	122.484	101.533	118.069
Mtr.10102.1.S1_at	522.215	528.062	472.013
Mtr.10103.1.S1_at	7.8951	7.41067	9.29584
Mtr.10104.1.S1_at	27.8389	27.9069	32.0981
Mtr.10105.1.S1_at	8.70884	12.0173	9.00449
Mtr.10105.1.S1_s_at	255.397	281.263	282.452
Mtr.10106.1.S1_at	57.8602	70.6213	54.6266
Mtr.10107.1.S1_at	69.9471	71.3488	94.0373
Mtr.10107.1.S1_s_at	133.352	149.691	150.769
Mtr.10108.1.S1_at	8.29729	9.66684	8.44928
Mtr.10109.1.S1_s_at	55.1752	44.0817	36.1495
Mtr.1011.1.S1_at	15.907	11.964	19.1357
Mtr.10110.1.S1_at	965.727	819.336	765.393
Mtr.10111.1.S1_at	28.7073	38.0886	32.7997
Mtr.10112.1.S1_at	9.6816	11.484	19.531
Mtr.10113.1.S1_at	27.8317	15.2611	18.5326
Mtr.10114.1.S1_at	8.9585	10.6452	10.8587
Mtr.10115.1.S1_at	131.905	118.759	136.108
Mtr.10116.1.S1_at	378.793	472.116	375.336
Mtr.10116.1.S1_s_at	103.836	97.4099	75.9437
Mtr.10117.1.S1_at	17.999	15.2548	12.0648
Mtr.10118.1.S1_at	50.0731	60.9058	44.4465
Mtr.10119.1.S1_at	104.954	114.913	109.54
Mtr.1012.1.S1_at	16.8457	21.9247	12.3525
Mtr.10120.1.S1_at	508.573	496.795	539.174
Mtr.10121.1.S1_at	63.7031	73.4863	67.0717
Mtr.10122.1.S1_at	6.85127	7.46101	6.55714
Mtr.10123.1.S1_at	199.475	203.507	166.798
Mtr.10124.1.S1_at	7.77009	6.99072	7.51974
Mtr.10125.1.S1_at	6.80159	7.26556	7.70048
Mtr.10126.1.S1_at	1908.96	2290.85	1798.42
Mtr.10127.1.S1_at	8.66189	9.01645	8.00607
Mtr.10127.1.S1_s_at	33.828	28.8229	23.8866
Mtr.10128.1.S1_at	124.298	115.137	114.929
Mtr.10129.1.S1_at	241.499	229.611	205.872
Mtr.1013.1.S1_at	8.50555	9.46929	7.68187
Mtr.10130.1.S1_at	256.282	307.442	295.989
Mtr.10131.1.S1_at	53.1989	55.4797	31.8383
Mtr.10132.1.S1_at	140.899	156.044	137.837
Mtr.10133.1.S1_at	467.202	472.479	396.583
Mtr.10134.1.S1_at	10.7684	16.5915	13.2148
Mtr.10135.1.S1_at	26.8981	33.1592	25.8614
Mtr.10136.1.S1_at	12.2308	10.7991	9.99664
Mtr.10137.1.S1_at	149.943	197.112	149.009
Mtr.10138.1.S1_at	631.274	721.818	488.439
Mtr.10139.1.S1_at	210.993	229.972	253.912
Mtr.1014.1.S1_at	109.771	103.669	116.126
Mtr.10140.1.S1_at	300.291	342.09	206.059
Mtr.10141.1.S1_at	72.2613	62.8106	49.3458
Mtr.10142.1.S1_at	109.681	182.048	133.25
Mtr.10143.1.S1_at	7.30197	7.80835	7.03733
Mtr.10144.1.S1_at	35.2636	23.5427	33.8169
Mtr.10145.1.S1_at	70.7148	96.7211	74.1818
Mtr.10146.1.S1_at	8.62441	10.4965	9.24433
Mtr.10146.1.S1_s_at	11.0868	10.1543	9.05317
Mtr.10147.1.S1_at	9.92716	10.3903	9.83047
Mtr.10148.1.S1_at	55.7632	66.7066	63.5702
Mtr.10149.1.S1_at	8.6354	9.88877	7.8496
Mtr.1015.1.S1_at	20.689	31.4013	21.1507
Mtr.10150.1.S1_at	8.7571	9.19092	10.0256
Mtr.10151.1.S1_s_at	211.252	273.892	279.53
Mtr.10152.1.S1_at	183.509	238.166	183.432
