probe_set	gene_id	adjust_score	start	end
AFFX-Msa-actin-3_at	Medtr7g026230.1	400	487	662
AFFX-Msa-actin-3_at	Medtr7g026230.4	400	597	772
AFFX-Msa-actin-3_at	Medtr7g026230.2	400	366	541
AFFX-Msa-actin-3_at	Medtr7g026230.3	400	455	630
AFFX-Msa-actin-M_at	Medtr7g026230.1	446	292	446
AFFX-Msa-actin-M_at	Medtr7g026230.4	446	402	556
AFFX-Msa-actin-M_at	Medtr7g026230.2	446	171	325
AFFX-Msa-actin-M_at	Medtr7g026230.3	446	260	414
AFFX-Msa-gapc-5_at	Medtr4g103920.2	399	643	863
AFFX-Msa-gapc-5_at	Medtr4g103920.1	399	717	937
AFFX-Mtr-actin-3_at	Medtr3g095530.3	495	1294	1634
AFFX-Mtr-actin-3_at	Medtr3g095530.1	495	1148	1488
AFFX-Mtr-actin-3_at	Medtr3g095530.2	495	1098	1438
AFFX-Mtr-actin-5_at	Medtr3g095530.3	495	593	864
AFFX-Mtr-actin-5_at	Medtr3g095530.1	495	447	718
AFFX-Mtr-actin-5_at	Medtr3g095530.2	495	397	668
AFFX-Mtr-actin-M_at	Medtr3g095530.3	495	900	1255
AFFX-Mtr-actin-M_at	Medtr3g095530.1	495	754	1109
AFFX-Mtr-actin-M_at	Medtr3g095530.2	495	704	1059
AFFX-Mtr-gapc-3_s_at	Medtr8g060850.1	495	74	264
AFFX-Mtr-gapc-5_at	Medtr3g085850.1	450	193	737
AFFX-Mtr-gapc-5_at	Medtr3g085850.3	405	106	557
AFFX-Mtr-gapc-5_at	Medtr3g085850.2	405	139	590
AFFX-Mtr-gapc-M_at	Medtr3g085850.3	495	563	1125
AFFX-Mtr-gapc-M_at	Medtr3g085850.1	495	743	1305
AFFX-Mtr-gapc-M_at	Medtr3g085850.2	495	596	1158
AFFX-Mtr-gapc-M_s_at	Medtr3g085850.3	495	624	1008
AFFX-Mtr-gapc-M_s_at	Medtr3g085850.1	495	804	1188
AFFX-Mtr-gapc-M_s_at	Medtr3g085850.2	495	657	1041
AFFX-Mtr-gsta-M_x_at	Medtr2g070150.1	495	375	609
AFFX-Mtr-gsta-M_x_at	Medtr2g070140.1	405	367	590
AFFX-Mtr-ubq11-3_x_at	Medtr4g091580.1	495	172	1455
AFFX-Mtr-ubq11-3_x_at	Medtr4g091580.2	360	172	897
AFFX-Mtr-ubq11-5_x_at	Medtr4g091580.2	495	6	530
AFFX-Mtr-ubq11-5_x_at	Medtr4g091580.1	495	6	986
