Medtr1g004930.1	hypothetical protein
Medtr1g004940.1	hypothetical protein
Medtr1g004950.1	hypothetical protein
Medtr1g004960.1	hypothetical protein
Medtr1g006530.1	transmembrane protein, putative
Medtr1g004980.1	hypothetical protein
Medtr1g004990.2	casein kinase
Medtr1g004990.1	casein kinase
Medtr1g006490.1	major intrinsic protein (MIP) family transporter
Medtr1g006590.1	tonoplast intrinsic protein
Medtr1g006600.1	exostosin family protein
Medtr1g006605.1	hypothetical protein
Medtr1g006660.1	AP2 domain class transcription factor
Medtr1g006540.1	transmembrane protein, putative
Medtr1g006690.2	Nup85 nucleoporin protein
Medtr1g006690.1	Nup85 nucleoporin protein
Medtr1g006695.1	E3 ubiquitin-protein ligase HERC2-like protein
Medtr1g006650.1	GATA transcription factor-like protein
Medtr1g006640.1	hypothetical protein
Medtr1g006630.1	hypothetical protein
Medtr1g006620.1	hypothetical protein
Medtr1g006970.1	hypothetical protein
Medtr1g006975.1	disease resistance protein (CC-NBS-LRR class) family protein
Medtr1g006990.1	subtilisin-like serine endopeptidase family protein
Medtr1g007017.1	hypothetical protein
Medtr1g007020.1	DUF4283 domain protein
Medtr1g007030.1	subtilisin-like serine endopeptidase family protein
Medtr1g007070.1	hypothetical protein
Medtr1g007060.1	exosome complex exonuclease RRP46
Medtr1g007060.2	exosome complex exonuclease RRP46
Medtr1g007110.1	inosine-uridine preferring nucleoside hydrolase
Medtr1g007120.1	thioredoxin-related transmembrane protein, putative
Medtr1g007150.1	casein kinase I-like protein
Medtr1g007153.1	hypothetical protein
Medtr1g007157.1	hypothetical protein
Medtr1g007160.2	ATP-dependent protease LA (lon) domain protein
Medtr1g007160.1	ATP-dependent protease LA (lon) domain protein
Medtr1g007165.1	hypothetical protein
Medtr1g007170.1	phosphoribosylglycinamide formyltransferase
Medtr1g007180.2	transmembrane amino acid transporter family protein
Medtr1g007180.1	transmembrane amino acid transporter family protein
Medtr1g007190.1	transmembrane amino acid transporter family protein
Medtr1g007195.1	transmembrane protein, putative
Medtr1g007200.1	DUF295 family protein
Medtr1g007220.1	DUF295 family protein
Medtr1g007230.1	F-box protein, putative
Medtr1g007240.1	transmembrane amino acid transporter family protein
Medtr1g007250.1	DUF295 family protein
Medtr1g007260.1	F-box protein
Medtr1g007270.1	transmembrane amino acid transporter family protein
Medtr1g007280.1	hypothetical protein
Medtr1g007290.1	hypothetical protein
Medtr1g007300.1	disease resistance protein (TIR-NBS-LRR class)
Medtr1g007310.1	transmembrane protein, putative
Medtr1g007320.1	haloacid dehalogenase-like hydrolase
Medtr1g007320.2	haloacid dehalogenase-like hydrolase
Medtr1g007320.3	haloacid dehalogenase-like hydrolase
Medtr1g007325.1	tyrosine-tRNA ligase-like protein
Medtr1g007340.1	tyrosine-tRNA ligase-like protein
Medtr1g007345.1	transmembrane protein, putative
Medtr1g007360.1	early nodulin 93
Medtr1g007370.2	RNA polymerase sigma factor
Medtr1g007370.1	RNA polymerase sigma factor
Medtr1g007380.1	transmembrane amino acid transporter family protein
Medtr1g007385.1	hypothetical protein
Medtr1g007390.1	auxin-independent growth promoter-like protein
Medtr1g007400.1	hypothetical protein
Medtr1g007410.1	F-box protein interaction domain protein
Medtr1g007420.1	serine esterase family protein, putative
Medtr1g007430.1	F-box protein interaction domain protein
Medtr1g007440.1	alkaline-phosphatase family protein, putative
Medtr1g007450.1	F-box protein interaction domain protein
Medtr1g007460.1	hypothetical protein
Medtr1g007480.2	ribosomal protein L28
Medtr1g007480.1	ribosomal protein L28
Medtr1g007490.1	hypothetical protein
Medtr1g007510.1	DNA polymerase theta-like protein
