Medtr0001s0360.1	GO:0003677,GO:0003682
Medtr0001s0430.1	GO:0005515
Medtr0001s0490.1	GO:0005524,GO:0005634,GO:0006355,GO:0016818
Medtr0001s0570.1	GO:0005515,GO:0008270
Medtr0001s0570.2	GO:0005515,GO:0008270
Medtr0001s0570.3	GO:0005515,GO:0008270
Medtr0001s0570.4	GO:0005515,GO:0008270
Medtr0001s0570.5	GO:0005515,GO:0008270
Medtr0001s0570.6	GO:0005515,GO:0008270
Medtr0001s0660.1	GO:0000166,GO:0008270,GO:0016491,GO:0016747,GO:0055114
Medtr0002s0020.1	GO:0005515
Medtr0002s0040.1	GO:0003824,GO:0005975
Medtr0002s0090.1	GO:0006952
Medtr0002s0100.1	GO:0000287,GO:0015977,GO:0016984
Medtr0002s0110.1	GO:0006952
Medtr0002s0120.1	GO:0006952
Medtr0002s0140.1	GO:0003735,GO:0005622,GO:0005840,GO:0006412,GO:0019843
Medtr0002s0150.1	GO:0016020,GO:0055114
Medtr0002s0160.1	GO:0008137,GO:0016020,GO:0016491,GO:0016651,GO:0051536,GO:0051539,GO:0055114
Medtr0002s0170.1	GO:0008137,GO:0042773,GO:0055114
Medtr0002s0200.1	GO:0008137,GO:0042773,GO:0055114
Medtr0002s0210.1	GO:0003735,GO:0005622,GO:0005840,GO:0006412
Medtr0002s0280.1	GO:0003735,GO:0005622,GO:0005840,GO:0006412,GO:0015935
Medtr0002s0300.1	GO:0003735,GO:0005622,GO:0005840,GO:0006412,GO:0015935
Medtr0002s0350.1	GO:0000166,GO:0003735,GO:0005622,GO:0005840,GO:0006412
Medtr0002s0360.1	GO:0003723,GO:0003735,GO:0005622,GO:0005840,GO:0006412,GO:0015934,GO:0015935,GO:0016740
Medtr0002s0380.1	GO:0009523,GO:0009772,GO:0016020,GO:0019684,GO:0030076,GO:0045156
Medtr0002s0420.1	GO:0009521,GO:0009523,GO:0009772,GO:0015979,GO:0016020,GO:0016168,GO:0019684,GO:0030076,GO:0045156
Medtr0002s0510.1	GO:0003677,GO:0003899,GO:0006351
Medtr0002s0530.1	GO:0003735,GO:0005622,GO:0005840,GO:0006412,GO:0015078,GO:0015935,GO:0015986,GO:0045263
Medtr0002s0540.1	GO:0015078,GO:0015986,GO:0015991,GO:0033177,GO:0045263
Medtr0002s0550.1	GO:0005524,GO:0015986,GO:0015991,GO:0016820,GO:0033178,GO:0045261,GO:0046933,GO:0046961
Medtr0002s0580.1	GO:0009522,GO:0009579,GO:0015979,GO:0016021,GO:0046872
Medtr0002s0590.1	GO:0003723,GO:0003735,GO:0005622,GO:0006412,GO:0015935,GO:0019843
Medtr0002s0630.1	GO:0008137,GO:0016651,GO:0048038,GO:0051539,GO:0055114
Medtr0002s0650.1	GO:0000166,GO:0005524,GO:0015986,GO:0015991,GO:0016820,GO:0017111,GO:0033178,GO:0045261,GO:0046933,GO:0046961
Medtr0002s0660.1	GO:0000287,GO:0015977,GO:0016984
Medtr0002s0680.1	GO:0009522,GO:0009579,GO:0015979,GO:0016021
Medtr0002s0690.1	GO:0005506,GO:0009055,GO:0015979,GO:0020037,GO:0031361
Medtr0002s0700.1	GO:0009523,GO:0009539,GO:0009767,GO:0015979,GO:0016021,GO:0019684,GO:0020037,GO:0030096
Medtr0002s0730.1	GO:0004252,GO:0006508
Medtr0002s0740.1	GO:0009523,GO:0015979,GO:0016168
Medtr0002s0750.1	GO:0009055,GO:0009767,GO:0016020,GO:0016491,GO:0022904,GO:0042651,GO:0045156
Medtr0002s0760.1	GO:0003677,GO:0003735,GO:0003899,GO:0005622,GO:0005840,GO:0006351,GO:0006412,GO:0046983
Medtr0002s0770.1	GO:0003723,GO:0003743,GO:0006413
Medtr0002s0780.1	GO:0003735,GO:0005622,GO:0005840,GO:0006412,GO:0015934,GO:0019843
Medtr0002s0790.1	GO:0003723,GO:0003735,GO:0005622,GO:0005840,GO:0006412,GO:0015935
Medtr0002s0800.1	GO:0003723,GO:0003735,GO:0005622,GO:0005840,GO:0006412,GO:0015934,GO:0015935,GO:0016740
Medtr0002s0820.1	GO:0008152,GO:0016491,GO:0055114
Medtr0002s0890.1	GO:0003824,GO:0006099,GO:0008964,GO:0015977
Medtr0002s1060.1	GO:0003824,GO:0004553,GO:0005975
Medtr0002s1200.1	GO:0003723,GO:0033897
Medtr0002s1250.1	GO:0003700,GO:0006355,GO:0043565
Medtr0003s0090.1	GO:0000166,GO:0005515,GO:0006952,GO:0007165,GO:0017111
Medtr0003s0460.1	GO:0005515,GO:0005524,GO:0005694,GO:0051276
Medtr0003s0470.1	GO:0005337,GO:0006810,GO:0016021
Medtr0003s0540.1	GO:0000166,GO:0005737,GO:0006914
Medtr0003s0560.1	GO:0004185,GO:0006508
Medtr0003s0560.2	GO:0004185,GO:0006508
Medtr0003s0590.1	GO:0003677,GO:0003700,GO:0005634,GO:0006355,GO:0046983
Medtr0003s0650.1	GO:0005488
Medtr0003s0660.1	GO:0004014,GO:0008295
Medtr0004s0220.1	GO:0004746,GO:0009231,GO:0016491,GO:0055114
Medtr0004s0330.1	GO:0004091
Medtr0005s0070.1	GO:0003824,GO:0016614,GO:0050660,GO:0055114
Medtr0005s0110.1	GO:0005515,GO:0006952,GO:0007165
Medtr0005s0130.1	GO:0000166,GO:0003676,GO:0008270
Medtr0005s0140.1	GO:0005388,GO:0005524,GO:0006812,GO:0016020,GO:0016021,GO:0019829,GO:0070588
Medtr0005s0150.1	GO:0003824,GO:0005975
Medtr0005s0200.1	GO:0006952
Medtr0006s0080.1	GO:0000166,GO:0006952,GO:0017111
Medtr0006s0140.1	GO:0006952
