NFP	Mtr.15789.1.S1_at	100.00	595	0	0	1	595	1	1785	0.0	 1194	595	1788
LYK3	Mtr.142.1.S1_s_at	97.77	582	0	1	20	601	58	1764	0.0	 1123	620	2061
DMI1	Mtr.19417.1.S1_at	100.00	882	0	0	1	882	1	2646	0.0	 1598	882	2649
DMI1	Mtr.124.1.S1_s_at	100.00	95	0	0	788	882	1	285	5e-59	  197	882	288
DMI3	Mtr.8930.1.S1_at	100.00	523	0	0	1	523	21	1589	0.0	 1055	523	1592
NSP1	Mtr.39863.1.S1_at	100.00	185	0	0	1	185	557	3	2e-87	  273	554	678
CYCLOPS	Mtr.42174.1.S1_at	99.07	214	2	0	257	470	2	643	2e-136	  403	513	1092
CYCLOPS	Mtr.29567.1.S1_at	99.46	185	1	0	1	185	326	880	4e-130	  384	513	880
CYCLOPS	Mtr.3453.1.S1_s_at	98.44	64	1	0	1	64	353	544	2e-35	  133	513	708
NSP2	Mtr.44789.1.S1_at	99.64	280	1	0	1	280	1	840	0.0	  460	508	1529
NIN	Mtr.28094.1.S1_at	100.00	63	0	0	863	925	1	189	2e-35	  134	933	443
NAP1	Mtr.19419.1.S1_s_at	98.05	1383	0	1	1	1383	1	4068	0.0	 2788	1383	4071
SUNN	Mtr.46819.1.S1_s_at	100.00	940	0	0	35	974	1	2820	0.0	 1800	974	2823
SUNN	Mtr.46819.1.S1_at	100.00	940	0	0	35	974	1	2820	0.0	 1800	974	2823
SKL1	Mtr.9302.1.S1_at	99.60	253	1	0	1057	1309	3	761	4e-174	  526	1309	1196
