probe_set,gene_id
AFFX-Msa-actin-3_at,Medtr7g026230.1
AFFX-Msa-actin-3_at,Medtr7g026230.4
AFFX-Msa-actin-3_at,Medtr7g026230.2
AFFX-Msa-actin-3_at,Medtr7g026230.3
AFFX-Msa-actin-M_at,Medtr7g026230.1
AFFX-Msa-actin-M_at,Medtr7g026230.4
AFFX-Msa-actin-M_at,Medtr7g026230.2
AFFX-Msa-actin-M_at,Medtr7g026230.3
AFFX-Msa-gapc-5_at,Medtr4g103920.2
AFFX-Msa-gapc-5_at,Medtr4g103920.1
AFFX-Mtr-actin-3_at,Medtr3g095530.3
AFFX-Mtr-actin-3_at,Medtr3g095530.1
AFFX-Mtr-actin-3_at,Medtr3g095530.2
AFFX-Mtr-actin-5_at,Medtr3g095530.3
AFFX-Mtr-actin-5_at,Medtr3g095530.1
AFFX-Mtr-actin-5_at,Medtr3g095530.2
AFFX-Mtr-actin-M_at,Medtr3g095530.3
AFFX-Mtr-actin-M_at,Medtr3g095530.1
AFFX-Mtr-actin-M_at,Medtr3g095530.2
AFFX-Mtr-gapc-3_s_at,Medtr8g060850.1
AFFX-Mtr-gapc-5_at,Medtr3g085850.1
AFFX-Mtr-gapc-5_at,Medtr3g085850.3
AFFX-Mtr-gapc-5_at,Medtr3g085850.2
AFFX-Mtr-gapc-M_at,Medtr3g085850.3
AFFX-Mtr-gapc-M_at,Medtr3g085850.1
AFFX-Mtr-gapc-M_at,Medtr3g085850.2
AFFX-Mtr-gapc-M_s_at,Medtr3g085850.3
AFFX-Mtr-gapc-M_s_at,Medtr3g085850.1
AFFX-Mtr-gapc-M_s_at,Medtr3g085850.2
AFFX-Mtr-gsta-M_x_at,Medtr2g070150.1
AFFX-Mtr-gsta-M_x_at,Medtr2g070140.1
AFFX-Mtr-ubq11-3_x_at,Medtr4g091580.1
AFFX-Mtr-ubq11-3_x_at,Medtr4g091580.2
AFFX-Mtr-ubq11-5_x_at,Medtr4g091580.2
AFFX-Mtr-ubq11-5_x_at,Medtr4g091580.1
AFFX-Mtr-ubq11-5_x_at,Medtr8g018230.4
AFFX-Mtr-ubq11-5_x_at,Medtr8g018230.2
AFFX-Mtr-ubq11-5_x_at,Medtr8g018230.3
AFFX-Mtr-ubq11-5_x_at,Medtr8g018230.1
AFFX-Mtr-ubq11-5_x_at,Medtr8g018230.5
AFFX-Mtr-ubq11-M_x_at,Medtr4g091580.1
Msa.1002.1.S1_at,Medtr8g058330.1
Msa.1006.1.S1_at,Medtr7g109720.1
Msa.1007.1.S1_at,Medtr3g109090.3
Msa.1007.1.S1_at,Medtr3g109090.1
Msa.1007.1.S1_at,Medtr3g109090.2
Msa.1009.1.S1_at,Medtr1g099310.1
Msa.1010.1.S1_at,Medtr8g009970.1
Msa.1011.1.S1_at,Medtr2g461560.1
Msa.1012.1.S1_at,Medtr2g035820.1
Msa.1013.1.S1_at,Medtr2g007150.2
Msa.1013.1.S1_at,Medtr2g007150.1
Msa.1013.1.S1_at,Medtr2g007150.3
Msa.1014.1.S1_at,Medtr8g059125.1
Msa.1016.1.S1_at,Medtr8g098525.2
Msa.1016.1.S1_at,Medtr8g098525.1
Msa.1020.1.S1_at,Medtr2g045490.1
Msa.1020.1.S1_at,Medtr2g045490.3
Msa.1020.1.S1_at,Medtr2g045490.2
Msa.1023.1.S1_at,Medtr1g096410.3
Msa.1023.1.S1_at,Medtr1g096410.1
Msa.1023.1.S1_at,Medtr1g096410.4
Msa.1023.1.S1_at,Medtr1g096410.2
Msa.1026.1.S1_at,Medtr6g084920.1
Msa.1031.1.S1_at,Medtr5g013340.1
Msa.1031.1.S1_at,Medtr5g013340.2
Msa.1032.1.S1_at,Medtr4g485520.1
Msa.1032.1.S1_at,Medtr4g485520.2
Msa.1035.1.S1_at,Medtr5g027010.1
Msa.1037.1.S1_at,Medtr2g095880.1
Msa.1037.1.S1_at,Medtr2g095880.2
Msa.1042.1.S1_at,Medtr7g082530.2
Msa.1042.1.S1_at,Medtr7g082530.1
Msa.1044.1.S1_at,Medtr0082s0040.1
Msa.1049.1.S1_at,Medtr5g008890.1
Msa.1051.1.S1_at,Medtr7g076900.1
Msa.1055.1.S1_at,Medtr0082s0090.1
Msa.1056.1.S1_at,Medtr7g078700.1
Msa.1056.1.S1_at,Medtr7g078700.4
Msa.1056.1.S1_at,Medtr7g078700.5
Msa.1056.1.S1_at,Medtr7g078700.3
Msa.1056.1.S1_at,Medtr7g078700.2
Msa.1060.1.S1_at,Medtr2g045280.1
Msa.1063.1.S1_at,Medtr3g073080.1
Msa.1063.1.S1_at,Medtr3g073080.4
Msa.1063.1.S1_at,Medtr3g073080.5
Msa.1063.1.S1_at,Medtr3g073080.2
Msa.1063.1.S1_at,Medtr3g073080.3
Msa.1064.1.S1_at,Medtr1g058250.1
Msa.1065.1.S1_at,Medtr4g103520.1
Msa.1065.1.S1_at,Medtr4g103520.2
Msa.1068.1.S1_at,Medtr3g118290.1
Msa.1071.1.S1_at,Medtr2g081810.1
Msa.1072.1.S1_at,Medtr1g094000.1
Msa.1078.1.S1_at,Medtr7g080060.1
Msa.1079.1.S1_at,Medtr6g090280.3
Msa.1079.1.S1_at,Medtr6g090280.2
Msa.1079.1.S1_at,Medtr6g090280.1
Msa.1080.1.S1_at,Medtr7g105830.1
Msa.1081.1.S1_at,Medtr7g087530.1
Msa.1083.1.S1_at,Medtr3g449930.1
Msa.1083.1.S1_at,Medtr3g449930.2
Msa.1086.1.S1_at,Medtr1g110930.1
Msa.1088.1.S1_at,Medtr1g083330.1
Msa.1093.1.S1_at,Medtr1g056490.1
